exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
Not Android platform, skipping copyExternalDB
Treatment plans table ensured
Treatment plans table ensured
Treatment plans table ensured
Invoices table ensured
Invoices table ensured
Invoices table ensured
Checking App ID: 200, Start: 2026-02-18 15:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 2614m
Checking App ID: 201, Start: 2026-02-18 14:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 2554m
Checking App ID: 202, Start: 2026-02-17 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 1054m
Checking App ID: 203, Start: 2026-02-28 14:43:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 16997m
Checking App ID: 204, Start: 2026-02-19 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 3694m
Checking App ID: 205, Start: 2026-02-19 12:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 3904m
Checking App ID: 206, Start: 2026-02-19 13:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 3964m
Checking App ID: 207, Start: 2026-02-19 15:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 4084m
Checking App ID: 208, Start: 2026-02-21 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 6754m
Checking App ID: 209, Start: 2026-02-24 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 11134m
Checking App ID: 210, Start: 2026-02-21 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 6694m
Checking App ID: 211, Start: 2026-02-21 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 6814m
Checking App ID: 212, Start: 2026-02-21 16:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 7024m
Checking App ID: 213, Start: 2026-02-21 14:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 6874m
Checking App ID: 214, Start: 2026-02-21 15:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 6934m
Checking App ID: 215, Start: 2026-02-23 10:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 9544m
Checking App ID: 216, Start: 2026-02-23 11:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 9604m
Checking App ID: 217, Start: 2026-02-23 15:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 9814m
Checking App ID: 218, Start: 2026-03-07 12:40:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 26954m
Checking App ID: 219, Start: 2026-02-23 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 9454m
